, opt_13b, , , , , , Geomean, , , , , 
Core, 0.25475, 0.00336, 0.00406, 1.00000, 0.01021, 0.01089, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.00543, 1.00000, 0.00781, 0.00543, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00216, 0.39774, 0.00311, 0.00216, 
Dram, 0.10759, 0.00052, 0.00052, 0.50533, 0.00362, 0.00268, 
Buffer, 0.23992, 0.00012, 0.00009, 0.74525, 0.00374, 0.00277, 
Core, 0.25475, 0.00310, 0.00246, 1.00000, 0.00684, 0.00524, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.02122, 1.00000, 0.00781, 0.02122, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00844, 0.39774, 0.00311, 0.00844, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.01051, 
Buffer, 0.23992, 0.00012, 0.00036, 0.74525, 0.00374, 0.01086, 
Core, 0.25475, 0.00310, 0.00963, 1.00000, 0.00684, 0.02049, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.01564, 0.06252, 1.00000, 0.01564, 0.06252, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00622, 0.02487, 0.39774, 0.00622, 0.02487, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00674, 0.02693, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00686, 0.02729, 
Core, 0.25475, 0.00336, 0.01625, 1.00000, 0.01021, 0.04354, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.01564, 0.01563, 1.00000, 0.01564, 0.01563, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.39774, 0.00622, 0.00622, 0.39774, 0.00622, 0.00622, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00674, 0.00828, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00686, 0.00864, 
Core, 0.25475, 0.00336, 0.01892, 1.00000, 0.01021, 0.02755, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.00781, 0.01563, 1.00000, 0.00781, 0.01563, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.39774, 0.00311, 0.00622, 0.39774, 0.00311, 0.00622, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00828, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00864, 
Core, 0.25475, 0.00310, 0.01892, 1.00000, 0.00684, 0.02755, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
